id,name,popularity
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100
4q3ewBCX7sLwd24euuV69X,Bad Bunny,95
3TVXtAsR1Inumwj472S9r4,Drake,95
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,92
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,90
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,89
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,88
790FomKkXshlbRYZFtlgla,KAROL G,88
2LRoIwlKmHjgvigdNGBHNo,Feid,88
1URnnhqYAYcrqrcwql10ft,21 Savage,88
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,88
7dGJo4pcD2V6oG8kP0tJRR,Eminem,88
7Gi6gjaWy3DxyilpF1a8Is,Junior H,88
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,87
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,87
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,87
7tYKF4w9nC0nq9CsPZTHyP,SZA,87
1RyvyyTE3xzB2ZywiAwp0i,Future,87
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,87
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,86
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,86
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,86
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,86
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,86
246dkjvS1zLTtiykXe5h60,Post Malone,86
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,86
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,86
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,86
2R21vXR83lH98kGeO99Y66,Anuel AA,85
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,85
3Nrfpe0tUJi4K4DXYWgMUX,BTS,85
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,85
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,85
0elWFr7TW8piilVRYJUe4P,Natanael Cano,85
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,85
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,85
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,85
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,85
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,85
7iK8PXO48WeuP03g8YR51W,Myke Towers,85
1wRPtKGflJrBx9BmLsSwlU,Pritam,85
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,84
55Aa2cqylxrFIXC767Z865,Lil Wayne,84
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,84
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,84
5f7VJjfbwm532GiveGC0ZK,Lil Baby,84
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,84
66ihevNkSYNzRAl44dx6jJ,Carin Leon,84
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,84
0EmeFodog0BfCgMzAIvKQp,Shakira,84
0Q8NcsJwoCbZOHHW63su5S,Mora,84
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,84
52iwsT98xCoGgiGntTiR7K,Quevedo,84
4dpARuHxo51G3z768sgnrY,Adele,83
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,83
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,83
6vWDO969PvNqNYHIOW5v0m,Beyoncé,83
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
